Time:
56.120062148: Joint 0: 34.244964599609375; Joint 1: 65.78850555419922; Joint 2: -227.5; Joint 3: 709.3388061523438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.124059023: Joint 0: 34.24824905395508; Joint 1: 65.79481506347656; Joint 2: -227.5; Joint 3: 709.4068603515625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.128057575: Joint 0: 34.25140380859375; Joint 1: 65.8008804321289; Joint 2: -227.5; Joint 3: 709.4722290039062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.132055289: Joint 0: 34.25444030761719; Joint 1: 65.80670928955078; Joint 2: -227.5; Joint 3: 709.5350952148438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.136085688: Joint 0: 34.25735092163086; Joint 1: 65.81230163574219; Joint 2: -227.5; Joint 3: 709.595458984375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.140080888: Joint 0: 34.26014709472656; Joint 1: 65.81767272949219; Joint 2: -227.5; Joint 3: 709.6533203125; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.144097877: Joint 0: 34.26282501220703; Joint 1: 65.82281494140625; Joint 2: -227.5; Joint 3: 709.7088012695312; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.148073801: Joint 0: 34.26538848876953; Joint 1: 65.82774353027344; Joint 2: -227.5; Joint 3: 709.7619018554688; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.152089114: Joint 0: 34.26784133911133; Joint 1: 65.83245086669922; Joint 2: -227.5; Joint 3: 709.8126831054688; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.156044085: Joint 0: 34.27018356323242; Joint 1: 65.83695220947266; Joint 2: -227.5; Joint 3: 709.8612060546875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.160068618: Joint 0: 34.27241897583008; Joint 1: 65.84124755859375; Joint 2: -227.5; Joint 3: 709.9075317382812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.164043703: Joint 0: 34.27455139160156; Joint 1: 65.84535217285156; Joint 2: -227.5; Joint 3: 709.9517211914062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.168059017: Joint 0: 34.27658462524414; Joint 1: 65.84925079345703; Joint 2: -227.5; Joint 3: 709.9937744140625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.172037454: Joint 0: 34.27851486206055; Joint 1: 65.85295867919922; Joint 2: -227.5; Joint 3: 710.0338134765625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.176033491: Joint 0: 34.28034973144531; Joint 1: 65.85649108886719; Joint 2: -227.5; Joint 3: 710.0718383789062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.180032881: Joint 0: 34.2820930480957; Joint 1: 65.85983276367188; Joint 2: -227.5; Joint 3: 710.10791015625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.184031433: Joint 0: 34.28374099731445; Joint 1: 65.86300659179688; Joint 2: -227.5; Joint 3: 710.14208984375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.188031661: Joint 0: 34.285301208496094; Joint 1: 65.86600494384766; Joint 2: -227.5; Joint 3: 710.1743774414062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.192033565: Joint 0: 34.28677749633789; Joint 1: 65.86883544921875; Joint 2: -227.5; Joint 3: 710.2049560546875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.196021221: Joint 0: 34.28816604614258; Joint 1: 65.87150573730469; Joint 2: -227.5; Joint 3: 710.2337036132812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.200019773: Joint 0: 34.28947448730469; Joint 1: 65.87401580810547; Joint 2: -227.5; Joint 3: 710.2608032226562; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.204015811: Joint 0: 34.29070281982422; Joint 1: 65.87637329101562; Joint 2: -227.5; Joint 3: 710.2862548828125; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.208014363: Joint 0: 34.29185485839844; Joint 1: 65.87859344482422; Joint 2: -227.5; Joint 3: 710.3101196289062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.212012914: Joint 0: 34.29293441772461; Joint 1: 65.88066101074219; Joint 2: -227.5; Joint 3: 710.3324584960938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.216009790: Joint 0: 34.29393768310547; Joint 1: 65.8825912475586; Joint 2: -227.5; Joint 3: 710.353271484375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.220008342: Joint 0: 34.29487609863281; Joint 1: 65.88439178466797; Joint 2: -227.5; Joint 3: 710.3726806640625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.224007732: Joint 0: 34.295745849609375; Joint 1: 65.88606262207031; Joint 2: -227.5; Joint 3: 710.3906860351562; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.228003769: Joint 0: 34.29655075073242; Joint 1: 65.88761138916016; Joint 2: -227.5; Joint 3: 710.4074096679688; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.232002321: Joint 0: 34.29729461669922; Joint 1: 65.8890380859375; Joint 2: -227.5; Joint 3: 710.4227905273438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.236000035: Joint 0: 34.297977447509766; Joint 1: 65.89035034179688; Joint 2: -227.5; Joint 3: 710.4369506835938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.239996072: Joint 0: 34.298606872558594; Joint 1: 65.89155578613281; Joint 2: -227.5; Joint 3: 710.449951171875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.243995462: Joint 0: 34.29917907714844; Joint 1: 65.89265441894531; Joint 2: -227.5; Joint 3: 710.4617919921875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.247993176: Joint 0: 34.29969787597656; Joint 1: 65.8936538696289; Joint 2: -227.5; Joint 3: 710.4725952148438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.251990052: Joint 0: 34.3001708984375; Joint 1: 65.89456176757812; Joint 2: -227.5; Joint 3: 710.4822998046875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.255991118: Joint 0: 34.300594329833984; Joint 1: 65.89537811279297; Joint 2: -227.5; Joint 3: 710.4910888671875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.259992184: Joint 0: 34.30097198486328; Joint 1: 65.89610290527344; Joint 2: -227.5; Joint 3: 710.4989624023438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.263989897: Joint 0: 34.301307678222656; Joint 1: 65.8967514038086; Joint 2: -227.5; Joint 3: 710.5059814453125; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.267990964: Joint 0: 34.301605224609375; Joint 1: 65.89732360839844; Joint 2: -227.5; Joint 3: 710.5121459960938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.271991192: Joint 0: 34.3018684387207; Joint 1: 65.8978271484375; Joint 2: -227.5; Joint 3: 710.5175170898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.275978848: Joint 0: 34.302093505859375; Joint 1: 65.89825439453125; Joint 2: -227.5; Joint 3: 710.522216796875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.279977399: Joint 0: 34.30228805541992; Joint 1: 65.89862823486328; Joint 2: -227.5; Joint 3: 710.5261840820312; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.283972598: Joint 0: 34.302452087402344; Joint 1: 65.89894104003906; Joint 2: -227.5; Joint 3: 710.5296020507812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.287977855: Joint 0: 34.30258560180664; Joint 1: 65.89920806884766; Joint 2: -227.5; Joint 3: 710.5324096679688; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.291975569: Joint 0: 34.30270004272461; Joint 1: 65.89942169189453; Joint 2: -227.5; Joint 3: 710.5347290039062; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.295974959: Joint 0: 34.30278778076172; Joint 1: 65.89959716796875; Joint 2: -227.5; Joint 3: 710.53662109375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.299975187: Joint 0: 34.302860260009766; Joint 1: 65.89972686767578; Joint 2: -227.5; Joint 3: 710.5380249023438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.303962005: Joint 0: 34.30290985107422; Joint 1: 65.89982604980469; Joint 2: -227.5; Joint 3: 710.5391235351562; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.307963071: Joint 0: 34.302947998046875; Joint 1: 65.89990234375; Joint 2: -227.5; Joint 3: 710.5399169921875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.311960785: Joint 0: 34.302974700927734; Joint 1: 65.89994812011719; Joint 2: -227.5; Joint 3: 710.5404052734375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.315959337: Joint 0: 34.3029899597168; Joint 1: 65.89997863769531; Joint 2: -227.5; Joint 3: 710.540771484375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.319986384: Joint 0: 34.30299758911133; Joint 1: 65.89999389648438; Joint 2: -227.5; Joint 3: 710.5408935546875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.323963983: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.5; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.327960859: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.5; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
